Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
201900017966,2019-07-02,2019,juillet,mardi,1900-01-01 08:20:00,67,67348,,,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Chantier,Sur piste cyclable,"nan, nan",Strasbourg
201900019060,2019-09-04,2019,septembre,mercredi,1900-01-01 08:35:00,38,38381,,,Hors agglomération,Intersection en Y,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900019062,2019-09-11,2019,septembre,mercredi,1900-01-01 12:26:00,38,38474,,,En agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Autres,Sur chaussée,"nan, nan",Grenoble
201900019365,2019-04-22,2019,avril,lundi,1900-01-01 16:30:00,38,38468,,,Hors agglomération,Hors intersection,Route nationale,Bidirectionnelle,Aucun,Sur accotement,"nan, nan",Autre
201900019856,2019-08-04,2019,août,dimanche,1900-01-01 11:40:00,67,67276,,,En agglomération,Intersection en Y,Voie Communales,Bidirectionnelle,Autres,Sur chaussée,"nan, nan",Autre
201900021612,2019-08-01,2019,août,jeudi,1900-01-01 18:15:00,67,67451,,,En agglomération,Intersection en Y,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900022597,2019-10-11,2019,octobre,vendredi,1900-01-01 16:45:00,38,38382,,,Hors agglomération,Autre intersection,Route Départementale,A chaussées séparées,Autres,Sur piste cyclable,"nan, nan",Grenoble
201900023228,2019-06-24,2019,juin,lundi,1900-01-01 13:50:00,67,67482,,,En agglomération,Intersection en T,Voie Communales,A chaussées séparées,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900023268,2019-06-29,2019,juin,samedi,1900-01-01 12:50:00,38,38421,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Grenoble
201900023371,2019-07-30,2019,juillet,mardi,1900-01-01 17:10:00,67,67309,,,Hors agglomération,Hors intersection,Routes de métropole urbaine,A chaussées séparées,Bretelle d’échangeur,Sur chaussée,"nan, nan",Autre
