id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
1975,"45.19696,5.75122",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75122,45.19696],[5.75158,45.19669],[5.75206,45.19635]]}",45.19696,5.75122,38
1493,"45.17402,5.74223",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.74223,45.17402],[5.74419,45.17454],[5.74459,45.17466],[5.74474,45.17471],[5.74496,45.1748]]}",45.17402,5.74223,38
1920,"45.17379,5.71675",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71675,45.17379],[5.71704,45.17472],[5.71713,45.17499],[5.71731,45.17553],[5.71748,45.17599],[5.71766,45.17656],[5.71781,45.177],[5.7179,45.17722],[5.71805,45.17771],[5.71816,45.17805],[5.71819,45.17814],[5.71821,45.17818],[5.71825,45.1782],[5.7183,45.17823],[5.71873,45.17852],[5.71897,45.17866],[5.71926,45.17886],[5.71934,45.17892],[5.71947,45.17896],[5.71957,45.17898],[5.71965,45.17898],[5.7198,45.17897],[5.71995,45.17894],[5.72016,45.17893],[5.72028,45.17893],[5.72038,45.17895],[5.72046,45.17898]]}",45.17379,5.71675,38
1922,"45.18597,5.72885",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.72885,45.18597],[5.72876,45.18602],[5.72803,45.18669],[5.72745,45.18719]]}",45.18597,5.72885,38
1501,"45.1732,5.73193",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73193,45.1732],[5.73146,45.17319],[5.73116,45.17323],[5.73083,45.17329],[5.73034,45.17337],[5.72968,45.17351],[5.72916,45.17365],[5.72839,45.17387],[5.72767,45.17412],[5.72658,45.17453],[5.72591,45.17481],[5.72571,45.17497],[5.72544,45.17508]]}",45.1732,5.73193,38
1502,"45.17351,5.7402",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.7402,45.17351],[5.73893,45.17329],[5.7386,45.17323]]}",45.17351,5.7402,38
1503,"45.17323,5.7386",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.7386,45.17323],[5.73829,45.17317],[5.73783,45.17306],[5.73756,45.1729],[5.73738,45.17279],[5.73723,45.17273],[5.73701,45.17272]]}",45.17323,5.7386,38
1847,"45.20676,5.70178",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70178,45.20676],[5.70184,45.20675],[5.70227,45.20675],[5.70282,45.20658],[5.70359,45.20631],[5.70459,45.20597],[5.70561,45.20562],[5.70651,45.20534],[5.70696,45.20522],[5.70824,45.205]]}",45.20676,5.70178,38
1846,"45.20676,5.70178",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70178,45.20676],[5.70236,45.20784]]}",45.20676,5.70178,38
2620,"45.19034,5.74359",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.74359,45.19034],[5.74298,45.18992],[5.74199,45.18929],[5.74149,45.18902],[5.74124,45.1889],[5.74046,45.18858],[5.74031,45.18852],[5.7403,45.1885],[5.74034,45.18841],[5.73732,45.1872]]}",45.19034,5.74359,38
